Id,first name,last name,gender,Phone,mail_id,dob,attendance,study hours,maths assignment,maths viva,physics assignment,physics viva,che assignment,che viva,Parental Involvement,Failures,t1_m,t1_p,t1_c,t2_m,t2_p,t2_c,t3_m,t3_p,t3_c,t4_m,t4_p,t4_c,t5_m(calc),t5_p(calc),t5_c(calc)
22000,Jared,Hamilton,male,8613594229.0,Jared_22000@gmail.com,2004-4-12,98.0,6.0,9.0,9.0,10.0,9.0,9.0,9.0,3.0,0.0,113.0,112.0,114.0,117.0,111.0,114.0,112.0,113.0,120.0,119.0,114.0,115.0,120.0,112.0,114.0
22001,Melissa,Garrison,male,8400074387.0,Melissa_22001@gmail.com,2004-4-7,95.0,4.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,0.0,109.0,107.0,108.0,108.0,108.0,106.0,105.0,105.0,107.0,110.0,109.0,110.0,106.0,110.0,109.0
22002,Tiffany,Hudson,male,9366186224.0,Tiffany_22002@gmail.com,2004-6-9,88.0,4.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,0.0,105.0,102.0,104.0,104.0,104.0,104.0,103.0,105.0,103.0,103.0,102.0,101.0,105.0,103.0,102.0
22003,Kimberly,Kelley,female,8122488905.0,Kimberly_22003@gmail.com,2004-7-24,85.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,2.0,0.0,95.0,96.0,99.0,97.0,96.0,95.0,98.0,99.0,95.0,97.0,98.0,100.0,98.0,96.0,99.0
22004,Kristi,Lawrence,male,7775091312.0,Kristi_22004@gmail.com,2002-2-21,77.0,2.0,7.0,8.0,7.0,8.0,7.0,8.0,2.0,0.0,95.0,92.0,93.0,91.0,94.0,90.0,92.0,90.0,91.0,90.0,90.0,94.0,91.0,91.0,94.0
22005,Stephen,Chen,female,7005525853.0,Stephen_22005@gmail.com,2002-6-9,71.0,5.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,0.0,86.0,89.0,85.0,85.0,86.0,85.0,89.0,90.0,88.0,89.0,88.0,85.0,86.0,86.0,88.0
22006,Robert,Brown,male,7639453659.0,Robert_22006@gmail.com,2002-1-9,69.0,2.0,6.0,6.0,6.0,6.0,7.0,7.0,3.0,0.0,80.0,81.0,82.0,84.0,83.0,83.0,83.0,85.0,80.0,81.0,81.0,84.0,52.0,70.0,54.0
22007,Charles,Tran,male,8460175518.0,Charles_22007@gmail.com,2002-8-12,62.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,0.0,78.0,75.0,79.0,78.0,78.0,78.0,77.0,79.0,78.0,78.0,77.0,79.0,77.0,75.0,80.0
22008,Kari,Anderson,female,8974357014.0,Kari_22008@gmail.com,2002-3-18,56.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,10.0,0.0,73.0,74.0,70.0,73.0,75.0,75.0,74.0,71.0,70.0,70.0,70.0,72.0,71.0,70.0,71.0
22009,Colleen,White,male,8688277654.0,Colleen_22009@gmail.com,2003-7-26,51.0,7.0,5.0,5.0,5.0,5.0,5.0,6.0,9.0,0.0,69.0,67.0,68.0,67.0,65.0,68.0,65.0,68.0,69.0,70.0,65.0,69.0,65.0,67.0,69.0
22010,Jennifer,Lawrence,female,8671384859.0,Jennifer_22010@gmail.com,2004-3-12,47.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,9.0,0.0,65.0,61.0,64.0,62.0,64.0,61.0,65.0,62.0,61.0,65.0,63.0,61.0,61.0,61.0,60.0
22011,Dustin,Schwartz,female,7097714825.0,Dustin_22011@gmail.com,2004-1-15,40.0,8.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,55.0,57.0,59.0,55.0,60.0,59.0,55.0,59.0,55.0,56.0,55.0,55.0,60.0,57.0,60.0
22012,Donald,Stone,female,8038358405.0,Donald_22012@gmail.com,2002-9-17,36.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,52.0,51.0,53.0,51.0,50.0,51.0,52.0,53.0,54.0,52.0,54.0,51.0,52.0,51.0,50.0
22013,Gary,Thompson,female,8326862965.0,Gary_22013@gmail.com,2002-4-18,33.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,8.0,0.0,46.0,45.0,47.0,45.0,50.0,49.0,47.0,47.0,45.0,45.0,45.0,50.0,45.0,50.0,45.0
